judul_proposal,deskripsi
Pembuatan dan Pengembangan Purwa Rupa Sistem Web Identifikasi Sidik Jari Berbasis Pencarian Makna / Semantik (Searching by Content) Berbantukan Teknologi Open Source Untuk Mendukung Program Nasional Identitas Tunggal (e-KTP),Rekayasa Perangkat Lunak dan Data
Pengembangan Algoritma Efisien untuk Kriptografi Eliptik Berbasis Composite Fields,Teknik Komputer
Kajian dan Implementasi Sistem Pengenalan Tulisan Tangan berbasis relasi spasial,Informatika
Partial Discharges in High Voltage Insulations and Their Applications for Diagnosis of High Voltage Equipments,Teknik Ketenagalistrikan
Development of active power filters and boost inverters by using the predictive control to achieve good dynamic response.,Teknik Ketenagalistrikan
Pengembangan Konten Game Sebagai Media Edukasi Pemberdayaan Masyarakat Cikapundung Net di Kota Bandung,Sistem Kendali dan Komputer
Sistem Cerdas untuk Promosi Produk Kerajinan UMKM,Informatika
Implementasi Test Bed Sistem Rekam Kesehatan Elektronik Terpadu Di Tingkat Puskesmas,Teknik Biomedika
Pengembangan Integrated Audio-Video Performance Test Tool untuk Analisis Kualitas Multimedia Internet,Teknik Komputer
PENGEMBANGAN RADAR SPEKTRUM TERSEBAR FMCW-FHSS UNTUK APLIKASI HANKAM (Development of FMCW-FHSS Spread-Spectrum Radar for Defense Applications),Teknik Telekomunikasi
PENGEMBANGAN RADAR TOMOGRAFI 3-DIMENSI PENEMBUS PERMUKAAN UNTUK PEMERIKSAAN STRUKTUR JALAN RAYA (Development of 3D Tomographic Surface Penetrating Radar for Road Inspections),Teknik Telekomunikasi
Simulasi Propagasi Kanal HAPS Sebagai Teknologi Alternatif Penyedia Layanan Selular 3G di Wilayah Perkotaan,Teknik Telekomunikasi
"Perancangan dan Realisasi Compact Dual-Band Antenna Berbasis Metamaterial untuk Aplikasi WiMAX 2,3GHz dan 3,3GHz",Teknik Telekomunikasi
<b>Pengembangan dan Realisasi Antena <i>Ultra-Wide Band</i> untuk Aplikasi Radar Tomografi 3-Dimensi Penembus Permukaan</b>,Teknik Telekomunikasi
Evaluasi Praktis Kinerja Pengendalian Daya Pancar untuk Mengatasi Efek Transmisi Lintasan Jamak pada Sistem Komunikasi Nirkabel,Teknik Telekomunikasi
Kajian dan Rekomendasi Kebijakan Publik dalam Bidang Teknologi Informasi dan Komunikasi untuk Menanggulangi Kemiskinan dan Meningkatkan Kesejahteraan Masyarakat Indonesia,Teknik Telekomunikasi
Analisis Sentimen Real Time pada Microblogging,Informatika
ANALISIS GAYA BERJALAN DENGAN SENSOR ACCELEROMETER DAN TEKANAN,Teknik Biomedika
Implementasi Geometri Koch Fraktal untuk Mengurangi Dimensi Transversal Antena Planar Cetak Log-Periodic,Teknik Telekomunikasi
Implementasi Layanan  Video on Demand pada Testbed Core  IP Multimedia Subsystem (IMS),Teknik Telekomunikasi
Simulasi Hemodinamik Aliran Darah Kepala untuk Analisis Resiko Pecahnya Aneurisma Serebral,Teknik Biomedika
SISTEM PENCITRA MIKROSKOPIK DENGAN TEKNIK HOLOGRAFI DIJITAL,Teknik Biomedika
MIKROSKOP PENYAPU-LAPANG-PANDANG OTOMATIS UNTUK DIAGNOSIS PENYAKIT TBC,Teknik Biomedika
Sistem Keamanan untuk Mobile Commerece Menggunakan Near Field Communication (NFC),Teknik Komputer
Sistem Laboratorium Bahasa Multimedia yang Murah berbasis Thin Client Computing,Teknologi Informasi
Mitigasi Korona dan Kegagalan isolator Tegangan Tinggi di Daerah Pantai dengan Penggunaan Silikon Vulkanisasi Temperatur Ruang: kasus pantai Ketewel Bali dan Pangandaran,Teknik Ketenagalistrikan
Pengembangan Sistem Manajemen Bandwidth Berbasis Web untuk Mendukung Layanan Digital Learning Pedesaan,Teknologi Informasi
"Perbandingan Karakteristik Dielektrik dan Partial Discharges  Material Isolasi Cair jenis Nabati, Mineral dan Sintetik",Teknik Ketenagalistrikan
PENGEMBANGAN ARTUS EXOSKELETON BERBASIS ELECTROMYOGRAPH,Elektronika
Pengembangan Prototipe Solar Sea Glider Autonomous Underwater  Vehicle (S-SGAUV)  dengan Kemampuan  Jelajah  Jarak Jauh  sebagai Wahana  Eksplorasi  Sumberdaya Laut  dan Monitoring Kelautan.,Sistem Kendali dan Komputer
<b>Desain dan Realisasi Antena <i>Log Periodic Fractal</i> untuk Aplikasi <i>Land Radar</i> FMCW</b>,Teknik Telekomunikasi
<b>Miniaturisasi dan Peningkatan Performansi Antena Mikrostrip Menggunakan <i>Artificial Magnetic Conductor</i></b>,Teknik Telekomunikasi
Peningkatan Kapasitas Sistem Multi Carrier CDMA pada Komunikasi Selular Non Line of Sight (NLOS),Teknik Telekomunikasi
Pengembangan Aplikasi pada Perangkat Komunikasi Bergerak untuk Kaji Cepat Kerusakan Sebagai Bagian dari Kegiatan Pengelolaan Bencana di Indonesia (Rapid Damage Assessment Application Development on Mobile Devices as Part of Disaster Management in Indonesi,Teknik Telekomunikasi
Penanggulangan Gejala TCP Unfairness pada Jaringan Wireless Ad-Hoc IEEE802.11 Menggunakan Pendekatan Cross Layer Design,Teknik Telekomunikasi
Kendali Bising Aktif dengan Menggunakan Combined FIR-Functional Link Neural Networks,Sistem Kendali dan Komputer
Pengukuran Tak Merusak Permitivitas Relatif Dedaunan Berbasiskan Metoda Rectangular Waveguide,Teknik Telekomunikasi
Pengembangan Sistem Transmisi Data Sensor Gerak Berbasis Bluetooth untuk Analisis Gait Pasien Stroke,Elektronika
"Rancangan Dasar Sistem Biometrik Berbasis  Pengenalan Sidik Jari, Wajah, dan Suara",Rekayasa Perangkat Lunak dan Data
DIAGNOSIS PENYAKIT JANTUNG KORONER DENGAN KUANTIFIKASI CITRA ANGIOGRAM,Teknik Biomedika
Genomic Data Mining Untuk  Prediksi Resiko Penyakit Kompleks Dalam Rangka Menunjang Personalized Medicine,Rekayasa Perangkat Lunak dan Data
PLATFORM UNTUK PENGEMBANGAN APLIKASI MOBILE TV INTERAKTIF PADA ARSITEKTUR HYBRID JARINGAN DVB DAN WIRELESS IP,Teknik Telekomunikasi
Rancang-Bangun Sistem Akuisisi Data dan Klasifikasi dengan Fusi Sensor EEG dan EMG untuk Kerangka Bagian-Bawah Tubuh dari Exoskeleton,Elektronika
PENGEMBANGAN BEBERAPA ALGORITMA ENKRIPSI SELEKTIF UNTUK CITRA DIGITAL  DENGAN MENGGUNAKAN FUNGSI CHAOS,Informatika
Pengembangan Sistem Interaktif untuk Peringkasan Multi Paper,Informatika
PENGEMBANGAN MULTIPLE ATTACK GRAPH-BASED SECURITY METRICS UNTUK MENGEVALUASI SECURITY JARINGAN,Teknik Komputer
Aplikasi Metamaterials untuk Memperkecil Dimensi Fisik dan Melebarkan Bandwidth Antena Cetak,Teknik Telekomunikasi
Pengembangan Aplikasi Jaringan Sensor Nirkabel  Berbasis ZigBee Untuk Analisis Gait,Elektronika
Pengembangan Metoda Pengolahan Citra Dijital Untuk Interpolasi PSF (Point Spread Function) dan Aplikasinya Dalam Pemetaan Sebaran Materi Gelap   (Interpolation of Point Spread Functions Using Thin-Plate and Sparse Random Field Models for Dark Matter Mappi,Teknik Telekomunikasi
Pendekatan Teori Informasi Dalam Pengukuran Eliptisitas Bintang dan Galaksi Secara Presisi Untuk Pemetaan Materi Gelap  (Vector Quantization of Stars and Galaxy  for Dark Matter Mapping Applications),Teknik Telekomunikasi
Kendali Terdistribusi dengan Algoritma Konsensus pada Sekelompok Robot Humanoid,Sistem Kendali dan Komputer
Broadcast DVB over Cooperative Network dengan Scalable Video Coding,Teknik Telekomunikasi
Rancang Bangun E-Co Friendly Smart Antenna untuk 4G Wireless System,Elektronika
Algoritma Resampling Baru dan Konsep Partikel Fleksibel pada Filter Partikel untuk Penentuan Lokasi pada Robot Wahana Gerak Mandiri,Teknologi Informasi
<b>Peningkatan Efisiensi dan Pengurangan Dimensi Fisik Antena UWB Monopol Cetak untuk Aplikasi <i>Surface Penetrating Radar</i></b>,Teknik Telekomunikasi
Disain dan Perancangan Antena Untuk Integrasi Teknologi Komunikasi Data Nirkabel,Teknik Telekomunikasi
APLIKASI E-LEARNING: KONVERSI TEXT � SUARA BAHASA INDONESIA DENGAN MENGGUNAKAN SILABEL,Teknik Biomedika
Sintesis Nanowire Silikon dengan Katalis Nano-partikel Emas untuk Aplikasi Elektronika,Elektronika
Pengembangan Platform Classroom Suite untuk Mendukung Pembelajaran Digital Di Daerah Rural,Elektronika
Pengembangan Sistem Komunikasi Darurat serta Aplikasi Rapid Assesment untuk Mendukung Pelaksanaan Tugas First Responder (Tim Reaksi Cepat) pada Situasi Bencana,Teknik Telekomunikasi
STUDI KAPASITAS SUMBER ENERGI TERBARUKAN DAN PEMBEBANAN DENGAN DATA LOGGER UNTUK SIZING SISTEM PLT HYBRID SURYA-ANGIN,Teknik Ketenagalistrikan
Pengembangan Metodologi Perancangan Embedded System berbasis Paradigma Event Driven dengan Contoh Kasus Remote Monitoring System,Elektronika
Pengembangan Perangkat Cerdas Berbasis  WiMAX Untuk Aplikasi Komunikasi Machine-to-Machine (M2M),Elektronika
Pengembangan Testbed Intelligent Transport System untuk Manajemen Trafik Lalulintas,Teknik Telekomunikasi
Pembangkitan Peta Penelitian Otomatis dari Kumpulan Makalah Ilmiah,Informatika
Stego-ECC berbasis Noise,Teknik Komputer
Perbandingan Karakteristik  Isolator Tegangan  Tinggi di daerah Pantai dengan dan tanpa  lapisan Silikon Vulkanisasi Temperatur Ruang : kasus pantai Ketewel Bali dan Pangandaran,Teknik Ketenagalistrikan
IMPLEMENTASI FPGA UNTUK PROSESSOR ELLIPTIC CURVE ATAS COMPOSITE FIELD,Teknik Biomedika
Perancangan Antena Pita Lebar untuk Aplikasi Komunikasi Nirkabel,Teknik Telekomunikasi
Rekayasa Komunikasi Millimeter Wave Band untuk Aplikasi WLAN/WiGig Pada Frekuensi 60 GHz,Teknik Telekomunikasi
Pengembangan Sistem Antarmuka Akuisisi Data Sensor Tanah untuk Peningkatan Produktivitas Pertanian,Elektronika
Pengembangan Model dan Simulasi Keamanan Jaringan Secara Optimal,Teknik Komputer
Pengembangan Bandpass Filter Komposit Berbasis Teknologi Mikrostrip untuk Aplikasi UWB,Teknik Telekomunikasi
Perancangan dan Analisa Inverter Penaik Tegangan 1 Fasa Dengan Metode Kendali Hibrid Minimisasi Frekuensi Pensaklaran,Teknik Ketenagalistrikan
Pengembangan Antena Cetak Multiband Compact  untuk Aplikasi Komunikasi Nirkabel,Teknik Telekomunikasi
Rancang Bangun Distributed Control Systems Menggunakan RTOS Pada Lower Limb Exoskeleton,Sistem Kendali dan Komputer
Pengembangan Sistem Perangkat Lunak Pemilahan Frekuensi Napas untuk Diagnosis Penyakit Paru dan Saluran Pernapasan,Rekayasa Perangkat Lunak dan Data
Perancangan Unit Synchronizer untuk  Perangkat Portable Network Analyzer Berbiaya Murah,Elektronika
Pengembangan Sistem Peringkasan Progresif Otomatis untuk Kumpulan Makalah Ilmiah,Informatika
Analisis Numerik Pengurangan Rugi-Rugi Transmisi pada Optical Waveguide dengan Teknik Dieletric-Lined,Teknik Telekomunikasi
Pengembangan Metodologi Perancangan Embedded System berbasis Paradigma Event Driven dengan Contoh Kasus Remote Monitoring System,Elektronika
Pemodelan Seismo-Electromagnetics Perturbation dengan Metode FDTD untuk Analisa Earthquake Precursor,Teknik Telekomunikasi
Pengembangan Metode Berbasis Valid Database Untuk Penanganan Data Hilang Dalam Proses  Ekstraksi Struktur Bayesian Network Dari Data,Rekayasa Perangkat Lunak dan Data
PENINGKATAN PEMAHAMAN MATA KULIAH RANGKAIAN LISTRIK SEBAGAI BASIS PENINGKATAN MUTU PENDIDIKAN TEKNIK ELEKTRO DI PTS,Teknik Ketenagalistrikan
"Penerapan Smart Gateway untuk  Mendukung Komunitas Guru Belajar (KGB) di Bandung, Cianjur, dan Subang � Jawa Barat",Teknologi Informasi
Pemberdayaan Komunitas Guru di Cianjur untuk Mendukung Gerakan Guru Melek Internet (GGMI),Teknologi Informasi
Pemanfaatan Media Sosial untuk Peningkatan Usaha bagi Start-Up Company,Informatika
Penggunaan Smart Devices untuk Efisiensi  Energi Listrik Di Kampus ITB,Teknik Komputer
Pemanfaatan Teknologi Informasi pada Anak Usia Sekolah Dasar,Teknik Telekomunikasi
Pembangkitan Peta Penelitian Otomatis  dari Kumpulan Makalah Ilmiah - Penelitian Lanjutan 2014,Informatika
Pengembangan Sistem untuk Prediksi Kredibilitas Informasi dari Jejaring Sosial Online,Informatika
Pengembangan Model Adopsi Cloud Computing untuk Perguruan Tinggi,Informatika
BIOMETRIKA - APPLICATION FRAMEWORK MODEL UNTUK EVALUASI METODE-METODE BIOMETRIK,Rekayasa Perangkat Lunak dan Data
PLATFORM UNTUK PENGEMBANGAN APLIKASI MOBILE TV INTERAKTIF PADA ARSITEKTUR HYBRID JARINGAN DVB DAN WIRELESS IP,Teknik Telekomunikasi
Disain dan Pengembangan Prototype Pemancar TV Digital DVB-T untuk TV Komunitas Kampus ITB,Teknik Telekomunikasi
Sequential Pattern sebagai Fitur Pengelompokan Dokumen(Document Clustering) untuk Analis Dokumen Pada Kasus BigData,Rekayasa Perangkat Lunak dan Data
Pengurangan Dimensi Fisik Bandpass Filter Pita Sempit dengan Mengimplementasikan Geometri Koch Fraktal,Teknik Telekomunikasi
Analisis Numerik Resonator Dielektrik Lingkaran Artifisial dengan Permitivitas Anisotropik Berbasiskan Metode FDTD,Teknik Telekomunikasi
Manajemen Inormasi �Unpredictable� pada Basisdata Spatio Temporal � Kasus Tanggap Darurat Kebencanaan Indonesia,Rekayasa Perangkat Lunak dan Data
PENGEMBANGAN APLIKASI DATABASE GIS TEMATIK PADA PLATFORM PERANGKAT BERGERAK UNTUK PENATAAN RUANG DAN WILAYAH PEMERINTAHAN KOTA/KABUPATEN,Teknik Telekomunikasi
Pengembangan Deposisi Terpola Nanopartikel Emas yang Kompatibel dengan Standar Proses MOSFET untuk Aplikasi Elektronika,Elektronika
Perancangan dan Realisasi Antena Cetak Planar dengan Teknologi Mikrostrip untuk Komunikasi Nirkabel,Teknik Telekomunikasi
Peningkatan Kapasitas Sistem Selular CDMA Menggunakan Deteksi Multi User,Teknik Telekomunikasi
Pendeteksi Plagiarisme Cerdas untuk Karya Ilmiah Multibahasa (Indonesia dan Inggris),Informatika
Manajemen Keamanan Big Data,Teknik Komputer
Perancangan dan Analisa Inverter Penaik Tegangan 3 Fasa Dengan Metode Kendali Hibrid Minimisasi Riak Keluaran,Teknik Ketenagalistrikan
Peringkasan Terpandu Otomatis untuk Aggregator Berita Bahasa Indonesia,Informatika
"Penerapan Teknologi Smart Home/Smart Building untuk Menghemat Energy dan Menurunkan Biaya Perawatan Perangkat Ruang, Kuliah Studi Kasus: Ruang Kuliah di ITB",Teknik Telekomunikasi
Pengembangan Metoda Estimasi Kanal Sistem BWA Teknologi LTE di Indonesia Menggunakan High Altitude Platforms (HAPs) Sebagai Infrastruktur Alternatif Komunikasi Wireless,Teknik Telekomunikasi
Pengembangan Model dan Simulasi Penguatan Keamanan Jaringan Secara Optimal,Teknik Komputer
Penerapan Classroom Suite untuk Pelaksanaan Kegiatan Belajar Sekolah Dasar di Cianjur dan Subang ��� Jawa Barat,Elektronika
Internet Berbasis Delay tolerant network (DTN) untuk Desa Terpencil,Teknik Komputer
Pengembangan Aplikasi Sarana Pelayanan Masyarakat (SAPA) Berbasis Mobile Untuk Mendukung Integrasi Informasi Program Posyandu Jawa Barat,Rekayasa Perangkat Lunak dan Data
Pengembangan Situs Pengindeks Sitasi Jurnal-Jurnal Indonesia,Sistem Kendali dan Komputer
Disain dan Pengembangan Prototype Pemancar TV    Digital DVB-T untuk TV Komunitas Kampus ITB,Teknik Telekomunikasi
Sequential Pattern sebagai Fitur Pengelompokan Dokumen untuk Analisis Dokumen Pada Kasus BigData (Document Clustering based on Sequential Pattern for Document Analysis in Bigdata),Rekayasa Perangkat Lunak dan Data
Biometrika - Application Framework Model untuk Evaluasi Metode-Metode Biometrik,Rekayasa Perangkat Lunak dan Data
Peningkatan Performansi Bandpass Filter Mikrostrip Menggunakan Split Ring Resonator,Teknik Telekomunikasi
Pengembangan Aplikasi dan Konten Rencana Pelaksanaan Pembelajaran (RPP) pada Platform Android untuk Mendukung Pendidikan Nasional,Elektronika
Pembentukan Model Sistem Cerdas untuk Online Monitoring System Diesel Engine Ukuran Besar,Informatika
Perancangan dan Fabrikasi Susunann Antena Mikrostrip Kompak dan Murah untuk Penerima TV Satelit,Teknik Telekomunikasi
Pilot Implementasi Sistem Pendingin Nutrisi Untuk Pembenihan Kentang Aeroponik Untuk Mendukung  Produksi Benih Kentang Jawa Barat,Elektronika
Pengembangan Sistem Peringkasan Opini,Informatika
Peringkasan Otomatis Informasi Pelengkap Berita Berbahasa Indonesia dari Media Sosial,Informatika
Perancangan dan Implementasi Rangkaian Pendeteksi dan Pengukuran Partial Discharge dalam Jangkauan Frekuensi sampai Satu Giga Hertz,Teknik Ketenagalistrikan
Pengembangan Metoda Anonymity pada e-Voting,Teknik Komputer
Rancang Bangun Sensor Kualitas Tanah Elektronis Berbasis Time Domain Reflectometry,Elektronika
Perancangan dan Implementasi Pendeteksi Keberadaan Manusia dalam Ruangan untuk Aplikasi Smart Home/Smart Building,Teknik Telekomunikasi
Simulasi Teknik SC-FDMA Sebagai Metoda Akses LTE Arah Uplink pada Kanal Ricean Sistem Komunikasi High Altitude Platform Station (HAPS),Teknik Telekomunikasi
Desain Material Dielektrik Artifisial dengan Permitivitas Anisotropik dan Komputasi Numeriknya Berbasis Metode FDTD,Teknik Telekomunikasi
Komputasi Numerik Pengurangan Rugi-Rugi Transmisi Optical Waveguide dengan Metode FDTD,Teknik Telekomunikasi
Pemanfaatan Social Media Marketing untuk Sentra Industri Rajutan Binongjati,Informatika
Penerapan Teknologi Telekomunikasi dan Informasi Bagi Kelompok Masyarakat Tokoh/Panutan Tingkat RW di Kelurahan Cicaheum Kota Bandung.,Teknik Telekomunikasi
PEMANFAATAN ELECTRONIC MARKETPLACE DI INDONESIA UNTUK MENINGKATKAN JANGKAUAN PASAR UKM  DIKOTA CIMAHI,Teknologi Informasi
Pengembangan Metode Pencuplikan Kompresif  dan Aplikasinya Dalam Pengolahan Sinyal Dijital,Teknik Telekomunikasi
Pengembangan Teknologi Jaringan Akses untuk Mendukung Telekomunikasi Nirkabel Generasi-5 (5G),Teknik Telekomunikasi
Simulasi Soft Frequency Reuse Sebagai Metoda untuk Mengatasi Interferensi di Jaringan 4G LTE dengan Skenario Carrier Aggregation,Teknik Telekomunikasi
Pengembangan Sistem Peringkasan Opini (Lanjutan Tahun Kedua),Informatika
Pembangkitan Otomatis Liputan Berita Waktu Nyata dengan Peringkasan Timeline (Generating Live Report Automatically Using Timeline Summarization),Informatika
Desain Baru dan Pembuatan Rangkaian Pendeteksi Partial Discharge Ultrawide Band,Teknik Ketenagalistrikan
"Penerapan Teknologi Informasi dan Komunikasi (TIK) untuk Mecerdaskan Masyarakat Tingkat RW, di Kelurahan Cicaheum Kota Bandung",Teknik Telekomunikasi
Penerapan Sistem Kelas Virtual Multimedia Berbasis Teknologi WebRTC untuk Pembelajaran Digital di Sekolah Dasar Pedesaan di Cianjur ��� Jawa Barat,Teknologi Informasi
Antena Cetak Susun dengan Sidelobe Rendah Berbasis Metoda Dolph-Chebyshev Power Distribution untuk Aplikasi Radar,Teknik Telekomunikasi
PEMBANGUNAN APLIKASIKNOWLEDGE MANAGEMENT ONLINE MONITORING SYSTEM DIESEL ENGINE UKURAN BESAR,Informatika
Aplikasi Metoda Pencuplikan Kompresif Dalam  Bidang Telekomunikasi,Teknik Telekomunikasi
A Mobile Subsurface Imaging System On A Smartphone,Teknik Telekomunikasi
Perancangan Metoda Manajemen Interferensi Sistem Multi Sel LTE-Advanced Menggunakan Teknik Partisi Daya,Teknik Telekomunikasi
Pengembangan Sistem Parkir Berbasis Mesin Vision,Informatika
Pengembangan Teknik Akses Jaringan Nirkabel Secara Hemat Spektrum,Teknik Telekomunikasi
Pengembangan Mesin Penerjemah Teks Bahasa Sunda ke dalam Bahasa Indonesia Menggunakan Metode Berbasis Hybrid,Informatika
Teknologi Konferensi Multimedia untuk Sekolah Pedesaan dengan Bandwidth Internet Terbatas,Teknologi Informasi
Proposal P3MI Teknik Komputer,Teknik Komputer
Proposal P3MI Sistem Kendali dan Komputer,Sistem Kendali dan Komputer
PROPOSAL P3MI KK INFORMATIKA STEI ITB,Informatika
P3MI KK Elektronika STEI ITB,Elektronika
Pengembangan Sistem Terintegrasi & Devais Internet of Things untuk Kesehatan,Teknik Biomedika
Proposal P3MI KK Teknologi Informasi,Teknologi Informasi
Sistem Energi Listrik yang Berkelanjutan (Sustainable Electrical Energy System).,Teknik Ketenagalistrikan
Proposal P3MI KK Rekayasa Perangkat Lunak dan Pengetahuan,Rekayasa Perangkat Lunak dan Data
"Program Penelitian, Pengabdian kepada masyarakat, dan Inovasi (P3MI) Kelompok Keahlian Teknik Telekomunikasi ITB 2017",Teknik Telekomunikasi
Pengembangan Konstelasi Satelit CubeSat Saling Terhubung,Teknik Komputer
STUDY OF DIELECTRIC PROPERTIES OF LIQUID INSULATION FOR HIGH  TEMPERATURE APPLICATIONS,Teknik Ketenagalistrikan
Antena Cetak Susun Polarisasi Linier untuk Komunikasi Wahana Terbang dengan Ground Station,Teknik Telekomunikasi
Pengembangan Teknologi High Altitude Platform Station (HAPS) Alternatif Pengganti Teknologi Google Loon Sebagai Infrastruktur Telekomunikasi Wireless di Indonesia,Teknik Telekomunikasi
Pengembangan Simulasi Animasi Menggunakan Teknik Animasi Diferensial,Informatika
SISTEM PENCITRAAN GELOMBANG MIKRO UNTUK     DETEKSI DINI KANKER PAYUDARA: PROOF-OF-    CONCEPT & PHANTOM VALIDATION,Teknik Biomedika
Pengembangan Sistem Transfer Energi Nirkabel untuk Pengisian Baterei Perangkat Elektronik Berdaya Rendah,Teknik Telekomunikasi
Pengembangan Jaringan Akses Nirkabel Generasi-5 (5G) untuk Mendukung Infrastruktur Internet of Things (IoT),Teknik Telekomunikasi
BotBerita: Pembangkit Artikel Berita Otomatis sebagai Pendukung Jurnalis (BotBerita: News Writing Bot for Supporting Journalist),Informatika
